// Symbols (277 entries)
// ADDRESS             | TYPE         | NAMESPACE                               | NAME

EXTERNAL:00000001    | Function     | MSCOREE.DLL                              | MSCOREE.DLL::_CorExeMain
00400000             | Label        | Global                                   | IMAGE_DOS_HEADER_00400000
00402000             | Label        | Global                                   | PTR__CorExeMain_00402000
00402008             | Label        | Global                                   | IMAGE_COR20_HEADER_00402008
0040205c             | Function     | Global                                   | .ctor
004020c2             | Function     | Global                                   | get_InputFormat
004020c5             | Function     | Global                                   | get_SettingsList
004020cd             | Function     | Global                                   | set_SettingsList
004020d6             | Function     | Global                                   | get_AreSettingsLoaded
004020de             | Function     | Global                                   | set_AreSettingsLoaded
004020e7             | Function     | Global                                   | get_ElapsedTime
004020ff             | Function     | Global                                   | get_ErrorMessage
00402107             | Function     | Global                                   | set_ErrorMessage
00402110             | Function     | Global                                   | <Execute>b__0
00402118             | Function     | Global                                   | <Execute>b__1
00402160             | Function     | Global                                   | Execute
00402239             | Function     | Global                                   | .ctor
00402241             | Function     | Global                                   | <GetUnifiedSettingInfos>b__4
00402264             | Function     | Global                                   | GetUnifiedSettingInfos
0040228f             | Function     | Global                                   | .ctor
00402297             | Function     | Global                                   | <GetUnifiedSettingInfos>b__7
004022bc             | Function     | Global                                   | GetUnifiedSettingInfos
004022f4             | Function     | Global                                   | MoveNext
0040259d             | Function     | Global                                   | SetStateMachine
004025b8             | Function     | Global                                   | GetClientSettingsRaw
004025f3             | Function     | Global                                   | <GetSettingBlobNames>b__15
004025fb             | Function     | Global                                   | <GetSettingBlobNames>b__16
0040261c             | Function     | Global                                   | MoveNext
004027d1             | Function     | Global                                   | SetStateMachine
004027ec             | Function     | Global                                   | GetSettingBlobNames
0040282f             | Function     | Global                                   | get_PageIndex
00402837             | Function     | Global                                   | set_PageIndex
00402840             | Function     | Global                                   | get_TotalPageCount
00402848             | Function     | Global                                   | set_TotalPageCount
00402851             | Function     | Global                                   | get_Settings
00402859             | Function     | Global                                   | set_Settings
00402862             | Function     | Global                                   | .ctor
0040286a             | Function     | Global                                   | get_Key
00402872             | Function     | Global                                   | set_Key
0040287b             | Function     | Global                                   | get_Value
00402883             | Function     | Global                                   | set_Value
0040288c             | Function     | Global                                   | .ctor
00402894             | Function     | Global                                   | .ctor
0040289c             | Function     | Global                                   | <GetServerUrl>b__0
004028b8             | Function     | Global                                   | GetServerUrl
00402996             | Function     | Global                                   | GetApiKey
004029a8             | Function     | Global                                   | .cctor
00402a0c             | Function     | Global                                   | .ctor
00402a7b             | Function     | Global                                   | GetData
00402a94             | Function     | Global                                   | MoveNext
00402cc5             | Function     | Global                                   | SetStateMachine
00402ce0             | Function     | Global                                   | GetDataAsync
00402d23             | Function     | Global                                   | Dispose
00402d2c             | Function     | Global                                   | Dispose
00402d3c             | Function     | Global                                   | .ctor
00402d44             | Function     | Global                                   | <Get>b__0
00402d4c             | Function     | Global                                   | <Get>b__1
00402d68             | Function     | Global                                   | Get
00402e38             | Function     | Global                                   | get_DefaultPrefix
00402e5f             | Function     | Global                                   | <get_PresenterActionsMap>b__1
00402e68             | Function     | Global                                   | <get_PresenterActionsMap>b__2
00402e71             | Function     | Global                                   | <get_PresenterActionsMap>b__3
00402e7a             | Function     | Global                                   | <get_PresenterActionsMap>b__4
00402e90             | Function     | Global                                   | get_PresenterActionsMap
00402f29             | Function     | Global                                   | DefaultOptionsFormatter
00402f37             | Function     | Global                                   | DefaultHeaderFormatter
00402f48             | Function     | Global                                   | GetConnectionString
00402f9e             | Function     | Global                                   | ArgumentNotNull
00402faa             | Function     | Global                                   | .ctor
00402fb2             | Function     | Global                                   | get_SetsToCompare
00402fba             | Function     | Global                                   | set_SetsToCompare
00402fc3             | Function     | Global                                   | get_SliceOption
00402fcb             | Function     | Global                                   | set_SliceOption
00402fd4             | Function     | Global                                   | get_OutputFileName
00402fdc             | Function     | Global                                   | set_OutputFileName
00402fe5             | Function     | Global                                   | get_GroupFilter
00402fed             | Function     | Global                                   | set_GroupFilter
00402ff6             | Function     | Global                                   | get_NameFilter
00402ffe             | Function     | Global                                   | set_NameFilter
00403007             | Function     | Global                                   | .ctor
0040300f             | Function     | Global                                   | get_ConfigurationDatabaseServer
00403017             | Function     | Global                                   | set_ConfigurationDatabaseServer
00403020             | Function     | Global                                   | get_SettingsTable
00403028             | Function     | Global                                   | set_SettingsTable
00403031             | Function     | Global                                   | get_FileName
0040304c             | Function     | Global                                   | set_FileName
00403055             | Function     | Global                                   | get_InputFormat
0040305d             | Function     | Global                                   | set_InputFormat
00403066             | Function     | Global                                   | get_OutputFormat
0040306e             | Function     | Global                                   | set_OutputFormat
00403077             | Function     | Global                                   | get_NoTimer
0040307f             | Function     | Global                                   | set_NoTimer
00403088             | Function     | Global                                   | .ctor
00403090             | Function     | Global                                   | .ctor
0040309f             | Function     | Global                                   | get_Description
004030a7             | Function     | Global                                   | set_Description
004030b0             | Function     | Global                                   | .ctor
004030bf             | Function     | Global                                   | get_Description
004030c7             | Function     | Global                                   | set_Description
004030d0             | Function     | Global                                   | .ctor
004030e4             | Function     | Global                                   | <ConvertToUnified>b__2
00403134             | Function     | Global                                   | ConvertToUnified
00403259             | Function     | Global                                   | get_ReportBuffer
00403261             | Function     | Global                                   | set_ReportBuffer
0040326a             | Function     | Global                                   | get_TimerDisplay
00403272             | Function     | Global                                   | set_TimerDisplay
0040327b             | Function     | Global                                   | .ctor
00403291             | Function     | Global                                   | SetHeader
004032ac             | Function     | Global                                   | Report
00403324             | Function     | Global                                   | <CreateReportText>b__0
00403334             | Function     | Global                                   | CreateReportText
004033d4             | Function     | Global                                   | PrintErrorReport
004033e8             | Function     | Global                                   | .ctor
00403404             | Function     | Global                                   | <CreateReportText>b__4
0040343d             | Function     | Global                                   | <CreateReportText>b__3
00403470             | Function     | Global                                   | <CreateReportText>b__5
004034a8             | Function     | Global                                   | <CreateReportText>b__7
004034b0             | Function     | Global                                   | <CreateReportText>b__6
004034d5             | Function     | Global                                   | <CreateReportText>b__8
004034dd             | Function     | Global                                   | <CreateReportText>b__9
004034ec             | Function     | Global                                   | CreateReportText
00403618             | Function     | Global                                   | PrintReport
00403691             | Function     | Global                                   | .cctor
0040369d             | Function     | Global                                   | .ctor
004036cc             | Function     | Global                                   | CreateReportText
004036ff             | Function     | Global                                   | SetHeader
00403701             | Function     | Global                                   | get_Default
00403708             | Function     | Global                                   | get_WebSettingsConnectionStringTemplate
0040371a             | Function     | Global                                   | get_ClientSettingsConnectionStringTemplate
0040372c             | Function     | Global                                   | .cctor
00403742             | Function     | Global                                   | .ctor
00403758             | Function     | Global                                   | ToString
004037c8             | Function     | Global                                   | .ctor
004037d0             | Function     | Global                                   | .ctor
004037e4             | Function     | Global                                   | .ctor
00403836             | Function     | Global                                   | get_InputFormat
00403839             | Function     | Global                                   | get_SettingsList
00403841             | Function     | Global                                   | set_SettingsList
0040384a             | Function     | Global                                   | get_AreSettingsLoaded
00403852             | Function     | Global                                   | set_AreSettingsLoaded
0040385b             | Function     | Global                                   | get_ElapsedTime
00403873             | Function     | Global                                   | get_ErrorMessage
0040387b             | Function     | Global                                   | set_ErrorMessage
00403884             | Function     | Global                                   | <Execute>b__0
0040388c             | Function     | Global                                   | <Execute>b__1
004038a0             | Function     | Global                                   | Execute
0040398d             | Function     | Global                                   | .ctor
00403995             | Function     | Global                                   | <GetUnifiedSettingInfos>b__4
004039b8             | Function     | Global                                   | GetUnifiedSettingInfos
004039e3             | Function     | Global                                   | GetUnifiedSettingInfos
004039ea             | Function     | Global                                   | .ctor
004039f7             | Function     | Global                                   | get_InputFormat
004039fa             | Function     | Global                                   | <Execute>b__7
00403a02             | Function     | Global                                   | <Execute>b__8
00403a4c             | Function     | Global                                   | Execute
00403b41             | Function     | Global                                   | .ctor
00403b49             | Function     | Global                                   | <GetUnifiedSettingInfos>b__b
